transaction_id,provider,amount,status,reference,raw_ref
TXN-UPI-B9C4EB,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-01F235EE
TXN-UPI-569E41,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-662A1194
TXN-UPI-9C9905,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-60BEC783
TXN-UPI-1D1359,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-F6E220D8
TXN-UPI-256743,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-D7BEE51B
TXN-UPI-115366,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-3B873181
TXN-UPI-61617F,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-7C9E298B
TXN-UPI-6DEB8A,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-EA8E03E4
TXN-UPI-F3F555,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-915AF815
TXN-UPI-ECE7A4,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-8600E9B0
TXN-UPI-A0C927,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-C46291C0
TXN-UPI-3CFD45,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-FB4AE9C6
TXN-UPI-A9087C,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-87064B47
TXN-UPI-063823,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-4D1F40BC
TXN-UPI-B11FAA,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-FB5D0033
TXN-UPI-3907C2,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-5C6A54BA
TXN-UPI-55B029,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-35E06606
TXN-UPI-0DFF98,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-DDF8ACE7
TXN-UPI-31A18F,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-9FE129CA
TXN-UPI-4CC63C,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-A58E4FCC
TXN-UPI-734353,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-BFBA38AF
TXN-UPI-63A5EB,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-9469857B
TXN-UPI-D2A5B6,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-7D9EA4F9
TXN-UPI-6A23B0,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-716024F8
TXN-UPI-A7FC4D,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-4D9A592A
TXN-UPI-24E789,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-EBC9B659
TXN-UPI-26D8CF,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-19311A6C
TXN-UPI-6E295D,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-BAE265CE
TXN-UPI-E4E99D,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-6081754A
TXN-UPI-A2BD7F,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-A3AA67B8
TXN-UPI-5B844E,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-EC471F7C
TXN-UPI-7CE542,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-A62E61A2
TXN-UPI-C334B9,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-4BF0C15F
TXN-UPI-67EC16,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-25724775
TXN-UPI-334BDC,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-32CFB275
TXN-UPI-160EC7,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-97B56F63
TXN-UPI-171425,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-3CDD0153
TXN-UPI-BB938B,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-26511C4B
TXN-UPI-C4A032,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-123B6A2B
TXN-UPI-D3B02D,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-39730670
TXN-UPI-65A346,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-844C602D
TXN-UPI-470146,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-3F0856D4
TXN-UPI-E1C471,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-D5C0F33B
TXN-UPI-80FC21,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-18A89AAE
TXN-UPI-0E968C,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-DDD9CEEA
TXN-UPI-2E0D24,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-2CC9F382
TXN-UPI-4BF665,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-6EFF9AF7
TXN-UPI-1DF5DE,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-DC620754
TXN-UPI-E943E4,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-E86CA59D
TXN-UPI-679DBF,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-79C74954
TXN-UPI-12214E,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-50771CD3
TXN-UPI-EEEE82,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-685E1570
TXN-UPI-E41664,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-1A7EFBEB
TXN-UPI-61571B,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-5200BC4E
TXN-UPI-E516E0,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-F86CCAD5
TXN-UPI-7D224F,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-90FBCB49
TXN-UPI-B80F52,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-DB6978CE
TXN-UPI-F98E4C,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-4E938409
TXN-UPI-545FC5,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-C2D1A26E
TXN-UPI-83FB04,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-763CAEB4
TXN-UPI-889629,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-7A80908A
TXN-UPI-583E3D,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-A29CC7E4
TXN-UPI-E0D148,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-99C623C2
TXN-UPI-DC2317,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-A1EE7E49
TXN-UPI-8F88EA,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-A44CCF51
TXN-UPI-C2E453,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-ED018B88
TXN-UPI-98D6DF,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-5C14DD58
TXN-UPI-2C596F,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-3CE86172
TXN-UPI-B7A6C9,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-F00715DC
TXN-UPI-CEEBD9,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-04964683
TXN-UPI-A2960F,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-9E4AF8C2
TXN-UPI-B5F1D5,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-27877139
TXN-UPI-3BF8C3,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-4610BFE5
TXN-UPI-A7696A,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-E5AED8C1
TXN-UPI-A2EEDC,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-67636BCE
TXN-UPI-BA16C6,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-C501EDD4
TXN-UPI-510F50,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-926C1D69
TXN-UPI-BF6604,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-C46A440E
TXN-UPI-D6123E,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-55D62FCB
TXN-UPI-7402CC,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-8EE25237
TXN-UPI-6E9F62,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-15DE29F3
TXN-UPI-A2EA2B,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-F335F36C
TXN-UPI-271AA7,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-8707AF0D
TXN-UPI-E634B6,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-A09C2E63
TXN-UPI-630B10,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-8F185DDF
TXN-UPI-75567B,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-A80CB5EC
TXN-UPI-5B84C3,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-3A2B4DDA
TXN-UPI-60B815,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-CFB497F3
TXN-UPI-155A4A,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-00FFAEFF
TXN-UPI-A38AF5,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-7FA75C79
TXN-UPI-0E647C,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-7576434E
TXN-UPI-12F1B2,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-6871D5F8
TXN-UPI-B1902E,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-C5858F85
TXN-UPI-248680,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-24EDB182
TXN-UPI-50035E,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-17CBBFEB
TXN-UPI-38F2E0,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-D702FDB5
TXN-UPI-36846F,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-20E46F93
TXN-UPI-7E9B08,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-D9588AF2
=======
>>>>>>> 1d63b70f812d10221d5c92df9cf3a89bfd7914f8
TXN-UPI-360814,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-09EA3697
TXN-UPI-F7A6FD,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-F1C04DEB
TXN-UPI-E0429E,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-0CE31483
TXN-UPI-F8DE7C,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-65C9DBA7
TXN-UPI-F2C3ED,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-B89A5BAB
TXN-UPI-FFE274,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-AF5AFF58
TXN-UPI-407E79,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-EB5F895E
TXN-UPI-D87507,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-56D344B8
TXN-UPI-1966D9,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-D0260329
TXN-UPI-8F01C6,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-2C2298E0
TXN-UPI-E4B3B8,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-F53D1E92
TXN-UPI-B47C7B,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-2A027009
TXN-UPI-FABCAA,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-B4355C0D
TXN-UPI-401244,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-EADF1A92
TXN-UPI-47F1D5,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-09A9B90B
TXN-UPI-7450EB,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-90446A09
TXN-UPI-955FF3,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-8F63ECAC
TXN-UPI-FDC655,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-FD3505FF
TXN-UPI-06206F,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-DE12E49C
TXN-UPI-9D2769,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-457C19AE
TXN-UPI-12B7FB,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-5E54F9E3
TXN-UPI-D1C7F0,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-A40BCFA1
TXN-UPI-056798,UPI,150.0,SUCCESS,purchase:First Aid Kit:qty=1,UPI-A20C67DE
TXN-UPI-343496,UPI,166.5,SUCCESS,purchase:Survival Kit:qty=1,UPI-765FD8F2
TXN-CC-54ED9A,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-04C6D6D2
TXN-CC-2A6B9C,CreditCard,20.0,SUCCESS,purchase:Lays Chips:qty=1,CHG-EBCFB8F3
TXN-CC-1EECDF,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-3EBA0DA1
TXN-CC-46266E,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-DD77DCE4
TXN-CC-766157,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-5815C692
TXN-CC-3FDC94,CreditCard,20.0,SUCCESS,purchase:Lays Chips:qty=1,CHG-D9F05013
TXN-CC-11F9B1,CreditCard,20.0,SUCCESS,purchase:Lays Chips:qty=1,CHG-803EE8A9
TXN-CC-F20E50,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-E885CDAA
TXN-CC-897208,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-6D9FBE79
TXN-CC-9A1918,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-751147C5
TXN-CC-18CF10,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-550AB719
TXN-CC-88C543,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-457BF850
TXN-CC-32832E,CreditCard,20.0,SUCCESS,purchase:Lays Chips:qty=1,CHG-E4810D4F
TXN-CC-A3DC80,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-6EA01B5B
TXN-CC-EF3A07,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-7165C73A
TXN-CC-C68266,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-49F96F0B
TXN-CC-D64A2D,CreditCard,20.0,SUCCESS,purchase:Lays Chips:qty=1,CHG-7981C935
TXN-CC-AF5C89,CreditCard,20.0,SUCCESS,purchase:Lays Chips:qty=1,CHG-F5A3102C
TXN-CC-E5DE0C,CreditCard,150.0,SUCCESS,purchase:First Aid Kit:qty=1,CHG-256ABF4C
TXN-CC-6A2C12,CreditCard,150.0,SUCCESS,purchase:First Aid Kit:qty=1,CHG-AA33FEC2
TXN-CC-662809,CreditCard,450.0,SUCCESS,purchase:Insulin Pen:qty=1,CHG-951B9572
TXN-CC-EE20DC,CreditCard,450.0,SUCCESS,purchase:Insulin Pen:qty=1,CHG-EEC634FF
TXN-CC-064607,CreditCard,166.5,SUCCESS,purchase:Survival Kit:qty=1,CHG-64ED5491
TXN-CC-749562,CreditCard,166.5,SUCCESS,purchase:Survival Kit:qty=1,CHG-B450CCFD
TXN-CC-086C00,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-CF47A727
TXN-CC-667CDC,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-B9BCA3F3
TXN-CC-6ACD66,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-BE06442A
TXN-CC-A29459,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-416B1CF4
TXN-CC-9E0BC2,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-744C66E2
TXN-CC-1E2527,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-BC1B0359
TXN-CC-E693EF,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-1AF71D4A
TXN-CC-3752F6,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-1CE20A23
TXN-CC-8232AA,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-13169469
TXN-CC-FC0FB5,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-CB065F81
TXN-CC-DE1217,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-3992CC2D
TXN-CC-DFA4C9,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-E598EECC
TXN-CC-9114BF,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-EE3F8979
TXN-CC-C7BEC6,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-AA6AACC4
TXN-CC-F76122,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-9DA4F1E5
TXN-CC-B5C33D,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-BECB9628
TXN-CC-F7C96B,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-1D0EC4EE
TXN-CC-6E111C,CreditCard,15.0,SUCCESS,purchase:Water Bottle:qty=1,CHG-19763B33
TXN-UPI-D90D5E,UPI,30.0,SUCCESS,purchase:Water Bottle:qty=2,UPI-E6171FE0
TXN-UPI-4F8880,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-C54BF137
TXN-UPI-AB0AC0,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-8C180360
TXN-UPI-9667D9,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-C8D59352
TXN-UPI-6ABF83,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-6A61F76D
TXN-UPI-F6A70C,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-87ECD617
TXN-UPI-2E883D,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-C98AE4B7
TXN-UPI-AAE926,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-C0173824
TXN-UPI-CA35CC,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-6A53C2F3
TXN-UPI-73E8BD,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-DCD0FDD7
TXN-UPI-F3DC29,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-15506E58
TXN-UPI-C49CA2,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-CF613B66
TXN-UPI-8DF6A5,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-94BABE29
TXN-UPI-DE5A5D,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-B5C1E5E1
TXN-UPI-2C7028,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-D729D6A7
TXN-UPI-E76646,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-5EAB9500
TXN-UPI-C63B5A,UPI,166.5,SUCCESS,purchase:Survival Kit:qty=1,UPI-074FE149
TXN-UPI-22FF43,UPI,166.5,SUCCESS,purchase:Survival Kit:qty=1,UPI-ED68639F
TXN-UPI-F98CDD,UPI,166.5,SUCCESS,purchase:Survival Kit:qty=1,UPI-30C3914C
TXN-UPI-AC3510,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-3826B7EF
TXN-UPI-57494E,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-A639D237
TXN-UPI-4E3C93,UPI,15.0,SUCCESS,purchase:Water Bottle:qty=1,UPI-3F603C11
TXN-UPI-4F7A98,UPI,20.0,SUCCESS,purchase:Lays Chips:qty=1,UPI-9115A647
TXN-UPI-7A3B4C,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-D44B7E9C
TXN-UPI-45A54C,UPI,450.0,SUCCESS,purchase:Insulin Pen:qty=1,UPI-DA202D5B
TXN-UPI-8E057A,UPI,166.5,SUCCESS,purchase:Survival Kit:qty=1,UPI-F8704981
